BHK,City,Size_sqft,Floors,Bathrooms,Furnishing,Property_Type,Age_years,Parking,Price
4,Pune,3571.0,10,4,Semi-furnished,Apartment,2.0,No,21368164.750919405
5,Jaipur,1397.0,11,4,Semi-furnished,Apartment,12.0,No,8234369.429863431
3,Kolkata,3431.0,10,2,Fully-furnished,Independent House,25.0,Yes,19748697.156666107
5,Chennai,4213.0,3,2,Unfurnished,Villa,12.0,Yes,25430661.476972602
5,Kolkata,3631.0,8,3,Fully-furnished,Independent House,18.0,No,21762499.159482285
2,Pune,2032.0,10,3,Fully-furnished,Independent House,27.0,No,12938903.155462718
3,Delhi,2477.0,8,4,Fully-furnished,Villa,24.0,No,26458925.650407765
3,Hyderabad,2298.0,5,1,Semi-furnished,Independent House,23.0,No,16260204.332394326
3,Kolkata,1851.0,8,1,Fully-furnished,Apartment,6.0,Yes,12603867.77355167
5,Ahmedabad,2338.0,2,2,Unfurnished,Apartment,2.0,Yes,13483105.444408208
4,Hyderabad,3060.0,2,2,Fully-furnished,Apartment,10.0,Yes,25723039.479598936
3,Ahmedabad,3491.0,12,2,Fully-furnished,Independent House,29.0,Yes,19933553.894152425
5,Kolkata,2163.0,4,3,Fully-furnished,Villa,20.0,Yes,14137941.372984778
2,Delhi,2897.0,8,2,Semi-furnished,Apartment,0.0,No,29221462.77368698
4,Hyderabad,3703.0,2,2,Unfurnished,Villa,29.0,Yes,22272940.276782446
2,Jaipur,1098.0,4,2,Unfurnished,Villa,1.0,Yes,4038931.967326364
4,Hyderabad,2544.0,8,1,Semi-furnished,Apartment,8.0,Yes,19097245.841053512
5,Chennai,758.0,3,1,Semi-furnished,Independent House,2.0,No,9113409.342634205
1,Kolkata,2405.0,8,4,Semi-furnished,Apartment,4.0,Yes,12128458.548552085
4,Bangalore,3519.0,12,2,Unfurnished,Independent House,3.0,No,26116017.501262996
2,Pune,887.0,2,3,Unfurnished,Villa,7.0,No,6850659.922720533
5,Mumbai,4369.0,14,1,Fully-furnished,Apartment,26.0,No,61893784.40279659
4,Surat,2361.0,1,4,Unfurnished,Apartment,16.0,No,11675134.431028888
1,Bangalore,4132.0,14,2,Semi-furnished,Independent House,21.0,No,29641555.903965596
1,Ahmedabad,1297.0,14,1,Unfurnished,Independent House,5.0,No,7504463.170701374
3,Jaipur,3003.0,14,3,Unfurnished,Villa,23.0,Yes,12024975.743118444
3,Jaipur,4520.0,6,3,Unfurnished,Apartment,16.0,No,18238304.387532778
2,Surat,2425.0,8,3,Unfurnished,Apartment,19.0,No,11449250.502481781
4,Delhi,4454.0,9,3,Fully-furnished,Apartment,16.0,No,47715090.81766367
4,Chennai,2127.0,10,2,Semi-furnished,Independent House,13.0,Yes,15508952.892568622
3,Pune,4812.0,8,4,Unfurnished,Independent House,24.0,No,24082238.87198567
4,Bangalore,1288.0,2,4,Semi-furnished,Apartment,5.0,No,14346404.218807096
4,Mumbai,2556.0,1,3,Semi-furnished,Independent House,22.0,No,35142061.82472308
1,Hyderabad,1563.0,7,2,Unfurnished,Villa,28.0,No,9555372.78695779
3,Surat,4968.0,7,4,Fully-furnished,Apartment,16.0,Yes,26449370.049229294
5,Delhi,1947.0,13,4,Fully-furnished,Apartment,25.0,No,23303817.167429216
3,Jaipur,1014.0,12,4,Fully-furnished,Villa,3.0,Yes,7633189.792813291
5,Mumbai,4959.0,13,3,Unfurnished,Apartment,26.0,No,57412011.24905546
1,Jaipur,2413.0,3,2,Unfurnished,Apartment,22.0,No,8797667.195060143
2,Kolkata,2451.0,6,3,Unfurnished,Apartment,19.0,No,11363498.486588033
4,Surat,1273.0,7,2,Unfurnished,Apartment,13.0,No,7039440.392110174
1,Delhi,828.0,14,1,Unfurnished,Independent House,26.0,No,7840113.535167101
4,Hyderabad,1293.0,9,2,Semi-furnished,Villa,20.0,No,11926344.140224632
2,Ahmedabad,1461.0,1,2,Semi-furnished,Apartment,16.0,Yes,9320530.62182467
2,Delhi,1910.0,13,3,Unfurnished,Independent House,13.0,No,18189301.881309822
1,Pune,1637.0,3,3,Fully-furnished,Apartment,2.0,No,12020668.787473433
2,Hyderabad,2068.0,5,1,Semi-furnished,Independent House,7.0,No,16103585.316548433
